scenario_group,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ghd,diff_gcr,diff_aw
baseline,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.1,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.01,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.001,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-7,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-8,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-9,1.3000,0.1444,0.1950,-1.3000,1.1050
discount 500+,1e-10,7.4850,0.7485,0.9850,-7.4850,6.5000
discount 500+,0,15.0843,0.0000,2.6898,-15.0843,12.3945
discount 100-500 and 500+,0.1,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.01,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.001,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-7,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-8,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-9,1.3000,0.1444,0.1950,-1.3000,1.1050
discount 100-500 and 500+,1e-10,7.4850,0.7485,0.9850,-7.4850,6.5000
discount 100-500 and 500+,0,20.5725,0.0000,5.6725,-20.5725,14.9000
