scenario,method,bound,credence_base,credence_scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
nashBargaining_low,nashBargaining,low,0.3500,0.1500,13.48,12.23,4.55,19.61,4.35,15.70,21.28,8.81
nashBargaining_high,nashBargaining,high,0.3500,0.5000,12.25,13.49,5.23,25.93,3.43,15.60,15.64,8.43
marketplace_low,marketplace,low,0.3000,0.2000,13.10,12.62,4.76,21.54,4.07,15.67,19.55,8.69
marketplace_high,marketplace,high,0.3000,0.5000,12.13,13.62,5.30,26.57,3.33,15.59,15.07,8.39
MEC_low,MEC,low,0.1500,0.1000,12.53,13.71,5.17,24.58,3.17,15.62,17.24,7.98
MEC_high,MEC,high,0.1500,0.2000,13.02,12.19,4.71,21.85,4.48,15.66,18.88,9.21
MET_low,MET,low,0.1000,0.0500,12.54,13.12,5.10,24.23,3.92,15.62,16.73,8.74
MET_high,MET,high,0.1000,0.1500,13.01,12.79,4.77,22.21,3.72,15.66,19.39,8.45
splitCycle_low,splitCycle,low,0.0800,0.0200,12.50,12.49,4.89,24.73,4.07,15.62,16.56,9.15
splitCycle_high,splitCycle,high,0.0800,0.1000,12.87,13.11,4.95,22.71,3.74,15.65,18.56,8.41
borda_low,borda,low,0.0200,0.0000,12.69,12.81,4.93,23.69,3.90,15.64,17.58,8.77
borda_high,borda,high,0.0200,0.0500,12.90,13.17,4.96,22.51,3.71,15.65,18.78,8.33
lexicographicMaximin_low,lexicographicMaximin,low,0.0000,0.0000,12.77,12.95,4.94,23.22,3.82,15.64,18.06,8.59
lexicographicMaximin_high,lexicographicMaximin,high,0.0000,0.0500,12.14,17.11,4.89,22.06,3.63,14.86,17.16,8.16
